2020-11-22 19:54:38,937 [Worker-53] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for ORSProject4
2020-11-22 19:54:38,947 [Worker-53] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 3 sec
2020-11-22 19:54:42,503 [Worker-52] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-11-22 19:54:42,522 [Worker-52] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2020-11-22 19:54:42,575 [Worker-52] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-11-22 19:54:42,588 [Worker-52] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\project4\project\ORSProject4\src\test\resources
2020-11-22 19:54:42,589 [Worker-52] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of ORSProject4
2020-11-22 19:54:42,590 [Worker-52] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for ORSProject4
2020-11-22 19:54:42,599 [Worker-52] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-11-22 19:56:41,595 [Worker-59] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-11-22 19:56:41,618 [Worker-59] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2020-11-22 19:56:41,637 [Worker-59] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-11-22 19:56:41,645 [Worker-59] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\project4\project\ORSProject4\src\test\resources
2020-11-22 19:56:59,072 [Worker-60] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2020-11-22 19:56:59,991 [Worker-60] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: in.co.rays.proj4:ORSProject4:0.0.1-SNAPSHOT @ C:\project4\project\ORSProject4\pom.xml.
2020-11-22 19:57:01,145 [Worker-60] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /ORSProject4/src/main/java
2020-11-22 19:57:01,145 [Worker-60] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /ORSProject4/src/main/resources
2020-11-22 19:57:01,146 [Worker-60] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /ORSProject4/src/test/java
2020-11-22 19:57:02,951 [Worker-60] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for ORSProject4
2020-11-22 19:57:02,962 [Worker-60] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 3 sec
